,DPV1,DPV2,DPV3,DPV4,DPV5,DPV6,DPV7,DPV8,DPV9,DPV10,DPV11,DPV12,DPV13,DPV14,DPV15,DPV16,DPV17,DPV18,DPV19,DPV20,DPV21,DPV22,DPV23,DPV24,DPV25,DPV26,DPV27,DPV28,DPV29,DPV30,DPV31,DPV32,DPV33,DPV34,DPV35,DPV36,DPV37,DPV38,DPV39,DPV40,DPV41,DPV42,DPV43,DPV44,DPV45,DPV46,DPV47,DPV48,DPV49,DPV50,DPV51,DPV52,DPV53,DPV54,DPV55,DPV56,DPV57,DPV58,DPV59,DPV60,DPV61
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.13672950533333333,0.02191647383333334,0.11130848775,0.07014317775,0.129720418,0.04901130308333334,0.13672950533333333,0.038497672499999996,0.25159484325,0.0804998885,0.22716765158333332,0.0025630244166666666,0.0041845296666666665,0.19055301741666666,0.03426083616666666,0.033319316999999994,0.010827470333333332,0.027460975583333328,0.05847880141666667,0.39402577,0.07825070383333334,0.13950175608333334,0.003452236916666667,0.09540727533333333,0.129563498,0.13740949125000002,1.0398556097499998,0.004864515666666666,0.023747205500000004,0.07563537275,0.6768999720000001,0.04142684325,0.03426083616666666,0.06826013933333334,0.19724826483333333,0.04053763075,0.09373346333333332,0.061669505333333326,0.30719678050000004,0.01595351916666667,0.07218313591666668,0.07851223691666666,0.06888781883333334,0.027931735166666666,0.08756128224999998,0.08348136583333333,0.16298742858333334,0.17716252266666666,0.08954893383333333,0.08233062016666666,0.04357141475,0.035097742166666675,0.0178365575,0.20833726833333333,0.07014317775,0.39402577,0.09373346333333332,0.12485590249999999,0.1281512195,0.08348136583333333,0.09718570041666667
8,0.6839754145833333,0.10963492683333335,0.5568093658333333,0.35088409758333333,0.6489131707500001,0.24517404875,0.6839754145833333,0.19258068291666666,1.2585775609166665,0.4026924878333333,1.1363830244166666,0.012821268333333335,0.020932682916666667,0.9532220487500002,0.17138634149999998,0.16667648783333333,0.054163317083333336,0.13737073166666666,0.2925342438333333,1.9710737561666665,0.39144117075,0.6978433170833332,0.017269463416666665,0.47726517075,0.6481281950833333,0.6873769755833333,5.201771707749999,0.024334243833333335,0.11879297558333335,0.37835824383333333,3.3861231220000003,0.2072335609166667,0.17138634149999998,0.34146439025,0.9867143414999999,0.20278536583333331,0.46889209758333333,0.3084954145833333,1.5367205854166668,0.07980585366666666,0.3610887805,0.39274946341666667,0.34460429266666665,0.1397256585,0.43801639025,0.4176070244166667,0.815328,0.8862374634166668,0.44795941458333327,0.4118505365833333,0.21796156091666666,0.17557287800000002,0.08922556091666667,1.04218595125,0.35088409758333333,1.9710737561666665,0.46889209758333333,0.6245789268333334,0.6410634145833333,0.4176070244166667,0.4861615609166667
9,1.47172754,0.23590429966666668,1.19810107325,0.7550063623333334,1.3962832054999998,0.5275473239999999,1.47172754,0.41438082225,2.708113798,0.8664838118333335,2.4451846620833333,0.027587853666666676,0.04504139375000001,2.0510724669166662,0.36877641133333333,0.3586420975833333,0.11654460625,0.29558414633333335,0.6294534773333332,4.241210236916667,0.8422740626666667,1.5015674634166667,0.037159149833333335,1.026943777,1.3945941533333333,1.4790467665833333,11.19278634175,0.052360620000000004,0.2556099095,0.8141231915833332,7.2860084529166675,0.4459097979999999,0.36877641133333333,0.7347377351666666,2.12313869675,0.43633850175000005,1.0089272195,0.66379754,3.306601317166667,0.1717203135833333,0.7769640418333333,0.8450891498333334,0.7414939442499998,0.30065130325,0.9424911636666667,0.8985758048333334,1.75436228575,1.9069400070000002,0.9638858257500001,0.8861894215833334,0.46899351225,0.37778468949999994,0.19198894074999998,2.242498390166667,0.7550063623333334,4.241210236916667,1.0089272195,1.3439225855000003,1.3793926828333332,0.8985758048333334,1.0460863693333333
10,2.1171396237500004,0.3393578815,1.7235168780833334,1.0861072055833332,2.0086098955,0.7588981741666667,2.1171396237500004,0.5961035818333333,3.8957312891666667,1.2464720280000001,3.5174970871666673,0.03968624383333334,0.0647938675,2.950550745583334,0.5304997909166668,0.5159211706666665,0.16765413250000002,0.42520975616666673,0.9054942996666667,6.101152557500001,1.211645324,2.160065561,0.05345494074999999,1.477300181333333,2.0061801255,2.127668627166667,16.1012760975,0.07532287108333334,0.36770519858333334,1.1711491568333334,10.481218006833334,0.6414592891666667,0.5304997909166668,1.056949965,3.0542209337500004,0.6276905923333334,1.4513826341666667,0.9548996237500001,4.756679804999999,0.24702662033333334,1.1176942159999999,1.21569494075,1.0666690452499996,0.43249906625000006,1.3558116795000001,1.2926376585000001,2.5237211428333333,2.7432103693333336,1.3865887665833334,1.2748193449999998,0.6746661463333333,0.5434585644166666,0.27618386083333335,3.225924682916667,1.0861072055833332,6.101152557500001,1.4513826341666667,1.9332870244166667,1.984312195,1.2926376585000001,1.5048375749166667
11,2.501206355416666,0.400920223,2.036177170833333,1.2831360836666665,2.372988432,0.89656861325,2.501206355416666,0.7042417281666667,4.6024493374999995,1.4725924181666665,4.155600306666667,0.0468856585,0.07654801350000001,3.4858051846666664,0.6267368640833332,0.609513561,0.19806798650000002,0.5023463414999999,1.0697584948333334,7.207952362416666,1.4314478605833332,2.5519194146666666,0.0631521115,1.7452947175000002,2.3701178815833335,2.51364540775,19.022181463333332,0.08898706625000001,0.434409979,1.383605352,12.382598105,0.7578253374999999,0.6267368640833332,1.2486894772500001,3.6082820069999997,0.741558885,1.7146755122500001,1.128126355416667,5.619581073083332,0.2918393030000001,1.3204532404166667,1.4362321114999999,1.2601716795,0.510957993,1.6017671916666665,1.5271328781666667,2.981545142916667,3.24085154,1.63812749825,1.5060821742500001,0.7970561950833334,0.6420464669166667,0.32628590933333335,3.811134244,1.2831360836666665,7.207952362416666,1.7146755122500001,2.2840013655000004,2.3442829269166667,1.5271328781666667,1.7778276236666664
12,2.6140000000000003,0.4189999999999999,2.128,1.3409999999999995,2.48,0.9369999999999999,2.6140000000000003,0.7359999999999999,4.8100000000000005,1.539,4.343000000000001,0.048999999999999995,0.07999999999999999,3.6430000000000002,0.6550000000000001,0.6370000000000001,0.207,0.5250000000000001,1.118,7.533,1.4960000000000002,2.6670000000000003,0.06600000000000002,1.8240000000000005,2.477,2.6269999999999993,19.88,0.09299999999999999,0.4539999999999998,1.446,12.941,0.7919999999999999,0.6550000000000001,1.305,3.7710000000000004,0.7750000000000002,1.7920000000000005,1.179,5.872999999999998,0.30500000000000005,1.3799999999999997,1.5009999999999997,1.317,0.5339999999999999,1.6739999999999997,1.5959999999999999,3.116,3.387,1.712,1.574,0.8330000000000001,0.6710000000000002,0.34100000000000014,3.982999999999999,1.3409999999999995,7.533,1.7920000000000005,2.387,2.4499999999999997,1.5959999999999999,1.8580000000000003
13,2.5281569686666665,0.40524015683333325,2.0581170731666667,1.29696193375,2.39855749125,0.9062291813333335,2.5281569686666665,0.7118299650000001,4.652040940750001,1.4884596689999998,4.2003770905,0.04739085366666668,0.07737282233333333,3.5233648955000003,0.6334899825,0.6160810975,0.20020217766666668,0.5077591463333334,1.0812851917500002,7.2856183796666665,1.4468717770000001,2.579416463416667,0.06383257841666666,1.7641003484166669,2.3956560105,2.5407300522500003,19.227146341666664,0.08994590591666667,0.43909076658333324,1.3985137630833335,12.516021168333332,0.7659909407500001,0.6334899825,1.2621441637500002,3.6471614111666657,0.749549216,1.7331512195,1.1402819686666668,5.680132317083333,0.294983885,1.3346811847500002,1.4517075784166666,1.2737500871666667,0.5164635888333333,1.6190263066666664,1.5435878050000003,3.0136714285833333,3.2757718640833335,1.6557783973333333,1.5223102788333334,0.8056445121666668,0.6489645470833334,0.32980165499999997,3.8521993902499996,1.29696193375,7.2856183796666665,1.7331512195,2.3086115854166667,2.369542682916667,1.5435878050000003,1.7969837979166667
14,2.2153695539999996,0.35510322983333326,1.80348370725,1.1364998363333334,2.101804320583333,0.7941091324166667,2.2153695539999996,0.6237612822499999,4.07648338,1.3043051811666668,3.6807000662500005,0.04152758549999999,0.067800139,3.087448846666667,0.5551136410833333,0.5398586098333333,0.175432861,0.4449384145,0.9475069477500001,6.384230623749999,1.2678626062499998,2.2602871463333334,0.055935115,1.5458431777500001,2.0992618153333336,2.2263870765833333,16.848334634166665,0.07881766208333334,0.3847657908333333,1.2254875189999999,10.967520044749998,0.67122138,0.5551136410833333,1.1059897735000002,3.1959290695,0.6568138501666666,1.5187231220000001,0.999204554,4.977377731750001,0.2584880315,1.16955240425,1.272100115,1.1161597945,0.45256593050000005,1.4187179164166668,1.3526127805000001,2.6408154285833336,2.8704884006666673,1.4509229824999998,1.333967742166667,0.70596895125,0.568673669,0.2889980940833334,3.375599439083334,1.1364998363333334,6.384230623749999,1.5187231220000001,2.0229866585833336,2.07637926825,1.3526127805000001,1.5746582369166668
15,2.0172429268333336,0.32334536583333334,1.64219317075,1.0348595123333333,1.9138341463333333,0.7230897560833333,2.0172429268333336,0.5679765853333333,3.711912195083334,1.1876575609999998,3.3515248780833335,0.0378136585,0.06173658533333334,2.8113297561666664,0.5054682926666668,0.49157756091666666,0.15974341466666667,0.4051463415,0.8627687805,5.813271219499999,1.1544741463333335,2.0581434145833337,0.05093268291666667,1.4075941465,1.9115190244166664,2.0272751220000003,15.341541463333334,0.0717687805,0.35035512183333334,1.1158887805000002,9.986664390166668,0.6111921950833333,0.5054682926666668,1.0070780488333333,2.9101082926666666,0.5980731706666668,1.3828995121666665,0.9098429268333331,4.532237073166667,0.23537073174999998,1.0649560975,1.1583326829166667,1.0163385366666666,0.4120917073333334,1.29183804875,1.231644878,2.40464,2.6137726829166668,1.3211629270000003,1.2146673170833333,0.6428321950833334,0.5178156097499999,0.2631521950833334,3.073710243833334,1.0348595123333333,5.813271219499999,1.3828995121666665,1.8420653658333332,1.8906829268333334,1.231644878,1.4338321949999997
16,1.6857476515833332,0.27020974216666666,1.3723301464999997,0.8648001533333334,1.5993321255000001,0.6042637907499998,1.6857476515833332,0.474640502,3.101930453,0.9924887665833334,2.8007658955,0.031599707500000004,0.05159135891666666,2.3493415053333333,0.42240425100000006,0.41079619508333337,0.13349264108333336,0.33856829250000003,0.7209892404166666,4.857971331000001,0.9647584111666667,1.7199269267499995,0.042562871083333335,1.1762829825833332,1.5973974494999998,1.6941312473333336,12.82045268333333,0.059974954750000004,0.2927809616666667,0.9325138120000002,8.345547191666665,0.510754453,0.42240425100000006,0.8415840415,2.4318876794999995,0.49979128925,1.1556464389999999,0.7603276515833333,3.787450634166666,0.19669205566666667,0.88995094075,0.9679828710833333,0.8493227455833332,0.3443723205,1.0795491846666667,1.0292476097499998,2.009483428583333,2.18424915675,1.1040550800833333,1.0150599861666665,0.5371950244166667,0.43272252266666666,0.21990816700000002,2.5686047805,0.8648001533333334,4.857971331000001,1.1556464389999999,1.5393571706666667,1.5799853658333332,1.0292476097499998,1.1982093100833333
17,0.907568049,0.145474756,0.7388312195000001,0.46558865850000003,0.8610439024166667,0.3253218293333333,0.907568049,0.25553560983333334,1.6700085365833333,0.5343332926666667,1.5078684146666668,0.017012561,0.027775609833333336,1.2648318293333334,0.22741280491666668,0.22116329266666668,0.07186939016666667,0.182277439,0.3881641464166667,2.615420853583333,0.5194039024166666,0.9259693901666668,0.022914878,0.6332839024166667,0.8600023170000001,0.9120815853333332,6.902239024500001,0.032289146416666664,0.15762658533333332,0.5020441464166667,4.493052073166667,0.2749785365833333,0.22741280491666668,0.4530896341666666,1.3092728049166669,0.2690762195,0.6221736584999998,0.409343049,2.039076951,0.10589451208333332,0.47912926824999996,0.5211398780000001,0.4572559755,0.18540219508333333,0.5812046341666667,0.5541234146666668,1.08186,1.175949878,0.594398049,0.546485122,0.2892135365833333,0.2329679268333333,0.11839353658333333,1.3828781706666666,0.46558865850000003,2.615420853583333,0.6221736584999998,0.828754756,0.850628049,0.5541234146666668,0.6450885365833333
18,0.23583380483333327,0.03780197558333334,0.19198712199999998,0.12098436591666667,0.22374439025,0.08453568291666667,0.23583380483333327,0.066401561,0.4339558536666668,0.13884782933333337,0.3918233414999999,0.004420756333333333,0.007217561,0.3286696829166667,0.05909378050000002,0.05746982933333333,0.018675439000000002,0.04736524366666667,0.10086541458333333,0.6796235854166666,0.13496839025,0.24061543900000001,0.005954487999999998,0.16456039025,0.22347373166666665,0.2370066585,1.7935639024166667,0.008390414583333334,0.0409596585,0.13045741458333335,1.1675307073333334,0.07145385366666666,0.05909378050000002,0.11773646341666666,0.34021778049999996,0.06992012199999999,0.16167336591666667,0.10636880483333333,0.5298591951666666,0.02751695125,0.12450292683333335,0.135419488,0.11881909758333335,0.04817721950000001,0.15102746341666665,0.14399034149999998,0.281124,0.305573488,0.15445580483333335,0.142005512,0.07515285366666666,0.06053729266666666,0.03076485366666666,0.3593443170833334,0.12098436591666667,0.6796235854166666,0.16167336591666667,0.21535397558333333,0.22103780483333335,0.14399034149999998,0.16762785366666666
19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
