interval,time,Kahului3,Kahului4,Maalaea01,Maalaea02,Maalaea03,Maalaea04,Maalaea05,Maalaea06,Maalaea07,Maalaea08,Maalaea09,Maalaea10,Maalaea11,Maalaea12,Maalaea13,MaalaeaX1,MaalaeaX2,Maalaea14cc,Maalaea15cc,Maalaea16cc,Maalaea17cc,Maalaea18cc,Maalaea19cc
1,0:00:00,11.5,11.5,2.5,2.5,2.5,5.51,5.51,5.51,5.51,5.48,5.48,12.34,12.34,12.34,12.34,2.5,2.5,21.13,13.381,21.13,21.4744,12.993282,21.474403
2,0:00:05,11.5,11.5,2.5,2.5,2.5,5.51,5.51,5.51,5.51,5.48,5.48,12.34,12.34,12.34,12.34,2.5,2.5,21.13,13.381,21.13,21.4744,12.993282,21.474403
3,0:00:10,11.5,11.5,2.5,2.5,2.5,5.51,5.51,5.51,5.51,5.48,5.48,12.34,12.34,12.34,12.34,2.5,2.5,21.13,13.381,21.13,21.4744,12.993282,21.474403
4,0:00:15,11.5,11.5,2.5,2.5,2.5,5.51,5.51,5.51,5.51,5.48,5.48,12.34,12.34,12.34,12.34,2.5,2.5,21.13,13.381,21.13,21.4744,12.993282,21.474403
5,0:00:20,11.5,11.5,2.5,2.5,2.5,5.51,5.51,5.51,5.51,5.48,5.48,12.34,12.34,12.34,12.34,2.5,2.5,21.13,13.381,21.13,21.4744,12.993282,21.474403
6,0:00:25,11.5,11.5,2.5,2.5,2.5,5.51,5.51,5.51,5.51,5.48,5.48,12.34,12.34,12.34,12.34,2.5,2.5,21.13,13.381,21.13,21.4744,12.993282,21.474403
7,0:00:30,11.5,11.5,2.5,2.5,2.5,5.51,5.51,5.51,5.51,5.48,5.48,12.34,12.34,12.34,12.34,2.5,2.5,21.13,13.381,21.13,21.4744,12.993282,21.474403
8,0:00:35,11.5,11.5,2.5,2.5,2.5,5.51,5.51,5.51,5.51,5.48,5.48,12.34,12.34,12.34,12.34,2.5,2.5,21.13,13.381,21.13,21.4744,12.993282,21.474403
9,0:00:40,11.5,11.5,2.5,2.5,2.5,5.51,5.51,5.51,5.51,5.48,5.48,12.34,12.34,12.34,12.34,2.5,2.5,21.13,13.381,21.13,21.4744,12.993282,21.474403
10,0:00:45,11.5,11.5,2.5,2.5,2.5,5.51,5.51,5.51,5.51,5.48,5.48,12.34,12.34,12.34,12.34,2.5,2.5,21.13,13.381,21.13,21.4744,12.993282,21.474403
11,0:00:50,11.5,11.5,2.5,2.5,2.5,5.51,5.51,5.51,5.51,5.48,5.48,12.34,12.34,12.34,12.34,2.5,2.5,21.13,13.381,21.13,21.4744,12.993282,21.474403
12,0:00:55,11.5,11.5,2.5,2.5,2.5,5.51,5.51,5.51,5.51,5.48,5.48,12.34,12.34,12.34,12.34,2.5,2.5,21.13,13.381,21.13,21.4744,12.993282,21.474403
13,0:01:00,11.5,11.5,2.5,2.5,2.5,5.51,5.51,5.51,5.51,5.48,5.48,12.34,12.34,12.34,12.34,2.5,2.5,21.13,13.381,21.13,21.4744,12.993282,21.474403
14,0:01:05,11.5,11.5,2.5,2.5,2.5,5.51,5.51,5.51,5.51,5.48,5.48,12.34,12.34,12.34,12.34,2.5,2.5,21.13,13.381,21.13,21.4744,12.993282,21.474403
15,0:01:10,11.5,11.5,2.5,2.5,2.5,5.51,5.51,5.51,5.51,5.48,5.48,12.34,12.34,12.34,12.34,2.5,2.5,21.13,13.381,21.13,21.4744,12.993282,21.474403
16,0:01:15,11.5,11.5,2.5,2.5,2.5,5.51,5.51,5.51,5.51,5.48,5.48,12.34,12.34,12.34,12.34,2.5,2.5,21.13,13.381,21.13,21.4744,12.993282,21.474403
17,0:01:20,11.5,11.5,2.5,2.5,2.5,5.51,5.51,5.51,5.51,5.48,5.48,12.34,12.34,12.34,12.34,2.5,2.5,21.13,13.381,21.13,21.4744,12.993282,21.474403
18,0:01:25,11.5,11.5,2.5,2.5,2.5,5.51,5.51,5.51,5.51,5.48,5.48,12.34,12.34,12.34,12.34,2.5,2.5,21.13,13.381,21.13,21.4744,12.993282,21.474403
19,0:01:30,11.5,11.5,2.5,2.5,2.5,5.51,5.51,5.51,5.51,5.48,5.48,12.34,12.34,12.34,12.34,2.5,2.5,21.13,13.381,21.13,21.4744,12.993282,21.474403
20,0:01:35,11.5,11.5,2.5,2.5,2.5,5.51,5.51,5.51,5.51,5.48,5.48,12.34,12.34,12.34,12.34,2.5,2.5,21.13,13.381,21.13,21.4744,12.993282,21.474403
21,0:01:40,11.5,11.5,2.5,2.5,2.5,5.51,5.51,5.51,5.51,5.48,5.48,12.34,12.34,12.34,12.34,2.5,2.5,21.13,13.381,21.13,21.4744,12.993282,21.474403
22,0:01:45,11.5,11.5,2.5,2.5,2.5,5.51,5.51,5.51,5.51,5.48,5.48,12.34,12.34,12.34,12.34,2.5,2.5,21.13,13.381,21.13,21.4744,12.993282,21.474403
23,0:01:50,11.5,11.5,2.5,2.5,2.5,5.51,5.51,5.51,5.51,5.48,5.48,12.34,12.34,12.34,12.34,2.5,2.5,21.13,13.381,21.13,21.4744,12.993282,21.474403
24,0:01:55,11.5,11.5,2.5,2.5,2.5,5.51,5.51,5.51,5.51,5.48,5.48,12.34,12.34,12.34,12.34,2.5,2.5,21.13,13.381,21.13,21.4744,12.993282,21.474403
25,0:02:00,11.5,11.5,2.5,2.5,2.5,5.51,5.51,5.51,5.51,5.48,5.48,12.34,12.34,12.34,12.34,2.5,2.5,21.13,13.381,21.13,21.4744,12.993282,21.474403
26,0:02:05,11.5,11.5,2.5,2.5,2.5,5.51,5.51,5.51,5.51,5.48,5.48,12.34,12.34,12.34,12.34,2.5,2.5,21.13,13.381,21.13,21.4744,12.993282,21.474403
27,0:02:10,11.5,11.5,2.5,2.5,2.5,5.51,5.51,5.51,5.51,5.48,5.48,12.34,12.34,12.34,12.34,2.5,2.5,21.13,13.381,21.13,21.4744,12.993282,21.474403
28,0:02:15,11.5,11.5,2.5,2.5,2.5,5.51,5.51,5.51,5.51,5.48,5.48,12.34,12.34,12.34,12.34,2.5,2.5,21.13,13.381,21.13,21.4744,12.993282,21.474403
29,0:02:20,11.5,11.5,2.5,2.5,2.5,5.51,5.51,5.51,5.51,5.48,5.48,12.34,12.34,12.34,12.34,2.5,2.5,21.13,13.381,21.13,21.4744,12.993282,21.474403
30,0:02:25,11.5,11.5,2.5,2.5,2.5,5.51,5.51,5.51,5.51,5.48,5.48,12.34,12.34,12.34,12.34,2.5,2.5,21.13,13.381,21.13,21.4744,12.993282,21.474403
31,0:02:30,11.5,11.5,2.5,2.5,2.5,5.51,5.51,5.51,5.51,5.48,5.48,12.34,12.34,12.34,12.34,2.5,2.5,21.13,13.381,21.13,21.4744,12.993282,21.474403
32,0:02:35,11.5,11.5,2.5,2.5,2.5,5.51,5.51,5.51,5.51,5.48,5.48,12.34,12.34,12.34,12.34,2.5,2.5,21.13,13.381,21.13,21.4744,12.993282,21.474403
33,0:02:40,11.5,11.5,2.5,2.5,2.5,5.51,5.51,5.51,5.51,5.48,5.48,12.34,12.34,12.34,12.34,2.5,2.5,21.13,13.381,21.13,21.4744,12.993282,21.474403
34,0:02:45,11.5,11.5,2.5,2.5,2.5,5.51,5.51,5.51,5.51,5.48,5.48,12.34,12.34,12.34,12.34,2.5,2.5,21.13,13.381,21.13,21.4744,12.993282,21.474403
35,0:02:50,11.5,11.5,2.5,2.5,2.5,5.51,5.51,5.51,5.51,5.48,5.48,12.34,12.34,12.34,12.34,2.5,2.5,21.13,13.381,21.13,21.4744,12.993282,21.474403
36,0:02:55,11.5,11.5,2.5,2.5,2.5,5.51,5.51,5.51,5.51,5.48,5.48,12.34,12.34,12.34,12.34,2.5,2.5,21.13,13.381,21.13,21.4744,12.993282,21.474403
37,0:03:00,11.5,11.5,2.5,2.5,2.5,5.51,5.51,5.51,5.51,5.48,5.48,12.34,12.34,12.34,12.34,2.5,2.5,21.13,13.381,21.13,21.4744,12.993282,21.474403
38,0:03:05,11.5,11.5,2.5,2.5,2.5,5.51,5.51,5.51,5.51,5.48,5.48,12.34,12.34,12.34,12.34,2.5,2.5,21.13,13.381,21.13,21.4744,12.993282,21.474403
39,0:03:10,11.5,11.5,2.5,2.5,2.5,5.51,5.51,5.51,5.51,5.48,5.48,12.34,12.34,12.34,12.34,2.5,2.5,21.13,13.381,21.13,21.4744,12.993282,21.474403
40,0:03:15,11.5,11.5,2.5,2.5,2.5,5.51,5.51,5.51,5.51,5.48,5.48,12.34,12.34,12.34,12.34,2.5,2.5,21.13,13.381,21.13,21.4744,12.993282,21.474403
41,0:03:20,11.5,11.5,2.5,2.5,2.5,5.51,5.51,5.51,5.51,5.48,5.48,12.34,12.34,12.34,12.34,2.5,2.5,21.13,13.381,21.13,21.4744,12.993282,21.474403
42,0:03:25,11.5,11.5,2.5,2.5,2.5,5.51,5.51,5.51,5.51,5.48,5.48,12.34,12.34,12.34,12.34,2.5,2.5,21.13,13.381,21.13,21.4744,12.993282,21.474403
43,0:03:30,11.5,11.5,2.5,2.5,2.5,5.51,5.51,5.51,5.51,5.48,5.48,12.34,12.34,12.34,12.34,2.5,2.5,21.13,13.381,21.13,21.4744,12.993282,21.474403
44,0:03:35,11.5,11.5,2.5,2.5,2.5,5.51,5.51,5.51,5.51,5.48,5.48,12.34,12.34,12.34,12.34,2.5,2.5,21.13,13.381,21.13,21.4744,12.993282,21.474403
45,0:03:40,11.5,11.5,2.5,2.5,2.5,5.51,5.51,5.51,5.51,5.48,5.48,12.34,12.34,12.34,12.34,2.5,2.5,21.13,13.381,21.13,21.4744,12.993282,21.474403
46,0:03:45,11.5,11.5,2.5,2.5,2.5,5.51,5.51,5.51,5.51,5.48,5.48,12.34,12.34,12.34,12.34,2.5,2.5,21.13,13.381,21.13,21.4744,12.993282,21.474403
47,0:03:50,11.5,11.5,2.5,2.5,2.5,5.51,5.51,5.51,5.51,5.48,5.48,12.34,12.34,12.34,12.34,2.5,2.5,21.13,13.381,21.13,21.4744,12.993282,21.474403
48,0:03:55,11.5,11.5,2.5,2.5,2.5,5.51,5.51,5.51,5.51,5.48,5.48,12.34,12.34,12.34,12.34,2.5,2.5,21.13,13.381,21.13,21.4744,12.993282,21.474403
49,0:04:00,11.5,11.5,2.5,2.5,2.5,5.51,5.51,5.51,5.51,5.48,5.48,12.34,12.34,12.34,12.34,2.5,2.5,21.13,13.381,21.13,21.4744,12.993282,21.474403
50,0:04:05,11.5,11.5,2.5,2.5,2.5,5.51,5.51,5.51,5.51,5.48,5.48,12.34,12.34,12.34,12.34,2.5,2.5,21.13,13.381,21.13,21.4744,12.993282,21.474403
51,0:04:10,11.5,11.5,2.5,2.5,2.5,5.51,5.51,5.51,5.51,5.48,5.48,12.34,12.34,12.34,12.34,2.5,2.5,21.13,13.381,21.13,21.4744,12.993282,21.474403
52,0:04:15,11.5,11.5,2.5,2.5,2.5,5.51,5.51,5.51,5.51,5.48,5.48,12.34,12.34,12.34,12.34,2.5,2.5,21.13,13.381,21.13,21.4744,12.993282,21.474403
53,0:04:20,11.5,11.5,2.5,2.5,2.5,5.51,5.51,5.51,5.51,5.48,5.48,12.34,12.34,12.34,12.34,2.5,2.5,21.13,13.381,21.13,21.4744,12.993282,21.474403
54,0:04:25,11.5,11.5,2.5,2.5,2.5,5.51,5.51,5.51,5.51,5.48,5.48,12.34,12.34,12.34,12.34,2.5,2.5,21.13,13.381,21.13,21.4744,12.993282,21.474403
55,0:04:30,11.5,11.5,2.5,2.5,2.5,5.51,5.51,5.51,5.51,5.48,5.48,12.34,12.34,12.34,12.34,2.5,2.5,21.13,13.381,21.13,21.4744,12.993282,21.474403
56,0:04:35,11.5,11.5,2.5,2.5,2.5,5.51,5.51,5.51,5.51,5.48,5.48,12.34,12.34,12.34,12.34,2.5,2.5,21.13,13.381,21.13,21.4744,12.993282,21.474403
57,0:04:40,11.5,11.5,2.5,2.5,2.5,5.51,5.51,5.51,5.51,5.48,5.48,12.34,12.34,12.34,12.34,2.5,2.5,21.13,13.381,21.13,21.4744,12.993282,21.474403
58,0:04:45,11.5,11.5,2.5,2.5,2.5,5.51,5.51,5.51,5.51,5.48,5.48,12.34,12.34,12.34,12.34,2.5,2.5,21.13,13.381,21.13,21.4744,12.993282,21.474403
59,0:04:50,11.5,11.5,2.5,2.5,2.5,5.51,5.51,5.51,5.51,5.48,5.48,12.34,12.34,12.34,12.34,2.5,2.5,21.13,13.381,21.13,21.4744,12.993282,21.474403
60,0:04:55,11.5,11.5,2.5,2.5,2.5,5.51,5.51,5.51,5.51,5.48,5.48,12.34,12.34,12.34,12.34,2.5,2.5,21.13,13.381,21.13,21.4744,12.993282,21.474403
61,0:05:00,11.5,11.5,2.5,2.5,2.5,5.51,5.51,5.51,5.51,5.48,5.48,12.34,12.34,12.34,12.34,2.5,2.5,21.13,13.381,21.13,21.4744,12.993282,21.474403
62,0:05:05,11.5,11.5,2.5,2.5,2.5,5.51,5.51,5.51,5.51,5.48,5.48,12.34,12.34,12.34,12.34,2.5,2.5,21.13,13.381,21.13,21.4744,12.993282,21.474403
63,0:05:10,11.5,11.5,2.5,2.5,2.5,5.51,5.51,5.51,5.51,5.48,5.48,12.34,12.34,12.34,12.34,2.5,2.5,21.13,13.381,21.13,21.4744,12.993282,21.474403
64,0:05:15,11.5,11.5,2.5,2.5,2.5,5.51,5.51,5.51,5.51,5.48,5.48,12.34,12.34,12.34,12.34,2.5,2.5,21.13,13.381,21.13,21.4744,12.993282,21.474403
65,0:05:20,11.5,11.5,2.5,2.5,2.5,5.51,5.51,5.51,5.51,5.48,5.48,12.34,12.34,12.34,12.34,2.5,2.5,21.13,13.381,21.13,21.4744,12.993282,21.474403
66,0:05:25,11.5,11.5,2.5,2.5,2.5,5.51,5.51,5.51,5.51,5.48,5.48,12.34,12.34,12.34,12.34,2.5,2.5,21.13,13.381,21.13,21.4744,12.993282,21.474403
67,0:05:30,11.5,11.5,2.5,2.5,2.5,5.51,5.51,5.51,5.51,5.48,5.48,12.34,12.34,12.34,12.34,2.5,2.5,21.13,13.381,21.13,21.4744,12.993282,21.474403
68,0:05:35,11.5,11.5,2.5,2.5,2.5,5.51,5.51,5.51,5.51,5.48,5.48,12.34,12.34,12.34,12.34,2.5,2.5,21.13,13.381,21.13,21.4744,12.993282,21.474403
69,0:05:40,11.5,11.5,2.5,2.5,2.5,5.51,5.51,5.51,5.51,5.48,5.48,12.34,12.34,12.34,12.34,2.5,2.5,21.13,13.381,21.13,21.4744,12.993282,21.474403
70,0:05:45,11.5,11.5,2.5,2.5,2.5,5.51,5.51,5.51,5.51,5.48,5.48,12.34,12.34,12.34,12.34,2.5,2.5,21.13,13.381,21.13,21.4744,12.993282,21.474403
71,0:05:50,11.5,11.5,2.5,2.5,2.5,5.51,5.51,5.51,5.51,5.48,5.48,12.34,12.34,12.34,12.34,2.5,2.5,21.13,13.381,21.13,21.4744,12.993282,21.474403
72,0:05:55,11.5,11.5,2.5,2.5,2.5,5.51,5.51,5.51,5.51,5.48,5.48,12.34,12.34,12.34,12.34,2.5,2.5,21.13,13.381,21.13,21.4744,12.993282,21.474403
73,0:06:00,11.5,11.5,2.5,2.5,2.5,5.51,5.51,5.51,5.51,5.48,5.48,12.34,12.34,12.34,12.34,2.5,2.5,21.13,13.381,21.13,21.4744,12.993282,21.474403
74,0:06:05,11.5,11.5,2.5,2.5,2.5,5.51,5.51,5.51,5.51,5.48,5.48,12.34,12.34,12.34,12.34,2.5,2.5,21.13,13.381,21.13,21.4744,12.993282,21.474403
75,0:06:10,11.5,11.5,2.5,2.5,2.5,5.51,5.51,5.51,5.51,5.48,5.48,12.34,12.34,12.34,12.34,2.5,2.5,21.13,13.381,21.13,21.4744,12.993282,21.474403
76,0:06:15,11.5,11.5,2.5,2.5,2.5,5.51,5.51,5.51,5.51,5.48,5.48,12.34,12.34,12.34,12.34,2.5,2.5,21.13,13.381,21.13,21.4744,12.993282,21.474403
77,0:06:20,11.5,11.5,2.5,2.5,2.5,5.51,5.51,5.51,5.51,5.48,5.48,12.34,12.34,12.34,12.34,2.5,2.5,21.13,13.381,21.13,21.4744,12.993282,21.474403
78,0:06:25,11.5,11.5,2.5,2.5,2.5,5.51,5.51,5.51,5.51,5.48,5.48,12.34,12.34,12.34,12.34,2.5,2.5,21.13,13.381,21.13,21.4744,12.993282,21.474403
79,0:06:30,11.5,11.5,2.5,2.5,2.5,5.51,5.51,5.51,5.51,5.48,5.48,12.34,12.34,12.34,12.34,2.5,2.5,21.13,13.381,21.13,21.4744,12.993282,21.474403
80,0:06:35,11.5,11.5,2.5,2.5,2.5,5.51,5.51,5.51,5.51,5.48,5.48,12.34,12.34,12.34,12.34,2.5,2.5,21.13,13.381,21.13,21.4744,12.993282,21.474403
81,0:06:40,11.5,11.5,2.5,2.5,2.5,5.51,5.51,5.51,5.51,5.48,5.48,12.34,12.34,12.34,12.34,2.5,2.5,21.13,13.381,21.13,21.4744,12.993282,21.474403
82,0:06:45,11.5,11.5,2.5,2.5,2.5,5.51,5.51,5.51,5.51,5.48,5.48,12.34,12.34,12.34,12.34,2.5,2.5,21.13,13.381,21.13,21.4744,12.993282,21.474403
83,0:06:50,11.5,11.5,2.5,2.5,2.5,5.51,5.51,5.51,5.51,5.48,5.48,12.34,12.34,12.34,12.34,2.5,2.5,21.13,13.381,21.13,21.4744,12.993282,21.474403
84,0:06:55,11.5,11.5,2.5,2.5,2.5,5.51,5.51,5.51,5.51,5.48,5.48,12.34,12.34,12.34,12.34,2.5,2.5,21.13,13.381,21.13,21.4744,12.993282,21.474403
85,0:07:00,11.5,11.5,2.5,2.5,2.5,5.51,5.51,5.51,5.51,5.48,5.48,12.34,12.34,12.34,12.34,2.5,2.5,21.13,13.381,21.13,21.4744,12.993282,21.474403
86,0:07:05,11.5,11.5,2.5,2.5,2.5,5.51,5.51,5.51,5.51,5.48,5.48,12.34,12.34,12.34,12.34,2.5,2.5,21.13,13.381,21.13,21.4744,12.993282,21.474403
87,0:07:10,11.5,11.5,2.5,2.5,2.5,5.51,5.51,5.51,5.51,5.48,5.48,12.34,12.34,12.34,12.34,2.5,2.5,21.13,13.381,21.13,21.4744,12.993282,21.474403
88,0:07:15,11.5,11.5,2.5,2.5,2.5,5.51,5.51,5.51,5.51,5.48,5.48,12.34,12.34,12.34,12.34,2.5,2.5,21.13,13.381,21.13,21.4744,12.993282,21.474403
89,0:07:20,11.5,11.5,2.5,2.5,2.5,5.51,5.51,5.51,5.51,5.48,5.48,12.34,12.34,12.34,12.34,2.5,2.5,21.13,13.381,21.13,21.4744,12.993282,21.474403
90,0:07:25,11.5,11.5,2.5,2.5,2.5,5.51,5.51,5.51,5.51,5.48,5.48,12.34,12.34,12.34,12.34,2.5,2.5,21.13,13.381,21.13,21.4744,12.993282,21.474403
91,0:07:30,11.5,11.5,2.5,2.5,2.5,5.51,5.51,5.51,5.51,5.48,5.48,12.34,12.34,12.34,12.34,2.5,2.5,21.13,13.381,21.13,21.4744,12.993282,21.474403
92,0:07:35,11.5,11.5,2.5,2.5,2.5,5.51,5.51,5.51,5.51,5.48,5.48,12.34,12.34,12.34,12.34,2.5,2.5,21.13,13.381,21.13,21.4744,12.993282,21.474403
93,0:07:40,11.5,11.5,2.5,2.5,2.5,5.51,5.51,5.51,5.51,5.48,5.48,12.34,12.34,12.34,12.34,2.5,2.5,21.13,13.381,21.13,21.4744,12.993282,21.474403
94,0:07:45,11.5,11.5,2.5,2.5,2.5,5.51,5.51,5.51,5.51,5.48,5.48,12.34,12.34,12.34,12.34,2.5,2.5,21.13,13.381,21.13,21.4744,12.993282,21.474403
95,0:07:50,11.5,11.5,2.5,2.5,2.5,5.51,5.51,5.51,5.51,5.48,5.48,12.34,12.34,12.34,12.34,2.5,2.5,21.13,13.381,21.13,21.4744,12.993282,21.474403
96,0:07:55,11.5,11.5,2.5,2.5,2.5,5.51,5.51,5.51,5.51,5.48,5.48,12.34,12.34,12.34,12.34,2.5,2.5,21.13,13.381,21.13,21.4744,12.993282,21.474403
97,0:08:00,11.5,11.5,2.5,2.5,2.5,5.51,5.51,5.51,5.51,5.48,5.48,12.34,12.34,12.34,12.34,2.5,2.5,21.13,13.381,21.13,21.4744,12.993282,21.474403
98,0:08:05,11.5,11.5,2.5,2.5,2.5,5.51,5.51,5.51,5.51,5.48,5.48,12.34,12.34,12.34,12.34,2.5,2.5,21.13,13.381,21.13,21.4744,12.993282,21.474403
99,0:08:10,11.5,11.5,2.5,2.5,2.5,5.51,5.51,5.51,5.51,5.48,5.48,12.34,12.34,12.34,12.34,2.5,2.5,21.13,13.381,21.13,21.4744,12.993282,21.474403
100,0:08:15,11.5,11.5,2.5,2.5,2.5,5.51,5.51,5.51,5.51,5.48,5.48,12.34,12.34,12.34,12.34,2.5,2.5,21.13,13.381,21.13,21.4744,12.993282,21.474403
101,0:08:20,11.5,11.5,2.5,2.5,2.5,5.51,5.51,5.51,5.51,5.48,5.48,12.34,12.34,12.34,12.34,2.5,2.5,21.13,13.381,21.13,21.4744,12.993282,21.474403
102,0:08:25,11.5,11.5,2.5,2.5,2.5,5.51,5.51,5.51,5.51,5.48,5.48,12.34,12.34,12.34,12.34,2.5,2.5,21.13,13.381,21.13,21.4744,12.993282,21.474403
103,0:08:30,11.5,11.5,2.5,2.5,2.5,5.51,5.51,5.51,5.51,5.48,5.48,12.34,12.34,12.34,12.34,2.5,2.5,21.13,13.381,21.13,21.4744,12.993282,21.474403
104,0:08:35,11.5,11.5,2.5,2.5,2.5,5.51,5.51,5.51,5.51,5.48,5.48,12.34,12.34,12.34,12.34,2.5,2.5,21.13,13.381,21.13,21.4744,12.993282,21.474403
105,0:08:40,11.5,11.5,2.5,2.5,2.5,5.51,5.51,5.51,5.51,5.48,5.48,12.34,12.34,12.34,12.34,2.5,2.5,21.13,13.381,21.13,21.4744,12.993282,21.474403
106,0:08:45,11.5,11.5,2.5,2.5,2.5,5.51,5.51,5.51,5.51,5.48,5.48,12.34,12.34,12.34,12.34,2.5,2.5,21.13,13.381,21.13,21.4744,12.993282,21.474403
107,0:08:50,11.5,11.5,2.5,2.5,2.5,5.51,5.51,5.51,5.51,5.48,5.48,12.34,12.34,12.34,12.34,2.5,2.5,21.13,13.381,21.13,21.4744,12.993282,21.474403
108,0:08:55,11.5,11.5,2.5,2.5,2.5,5.51,5.51,5.51,5.51,5.48,5.48,12.34,12.34,12.34,12.34,2.5,2.5,21.13,13.381,21.13,21.4744,12.993282,21.474403
109,0:09:00,11.5,11.5,2.5,2.5,2.5,5.51,5.51,5.51,5.51,5.48,5.48,12.34,12.34,12.34,12.34,2.5,2.5,21.13,13.381,21.13,21.4744,12.993282,21.474403
110,0:09:05,11.5,11.5,2.5,2.5,2.5,5.51,5.51,5.51,5.51,5.48,5.48,12.34,12.34,12.34,12.34,2.5,2.5,21.13,13.381,21.13,21.4744,12.993282,21.474403
111,0:09:10,11.5,11.5,2.5,2.5,2.5,5.51,5.51,5.51,5.51,5.48,5.48,12.34,12.34,12.34,12.34,2.5,2.5,21.13,13.381,21.13,21.4744,12.993282,21.474403
112,0:09:15,11.5,11.5,2.5,2.5,2.5,5.51,5.51,5.51,5.51,5.48,5.48,12.34,12.34,12.34,12.34,2.5,2.5,21.13,13.381,21.13,21.4744,12.993282,21.474403
113,0:09:20,11.5,11.5,2.5,2.5,2.5,5.51,5.51,5.51,5.51,5.48,5.48,12.34,12.34,12.34,12.34,2.5,2.5,21.13,13.381,21.13,21.4744,12.993282,21.474403
114,0:09:25,11.5,11.5,2.5,2.5,2.5,5.51,5.51,5.51,5.51,5.48,5.48,12.34,12.34,12.34,12.34,2.5,2.5,21.13,13.381,21.13,21.4744,12.993282,21.474403
