interval,time,XP_BESS,M014_BESS,M0041_BESS,M0042_BESS,ESS2
1,0:00:00,0,0,0,0,0
2,0:00:05,0,0,0,0,0
3,0:00:10,0,0,0,0,0
4,0:00:15,0,0,0,0,0
5,0:00:20,0,0,0,0,0
6,0:00:25,0,0,0,0,0
7,0:00:30,0,0,0,0,0
8,0:00:35,0,0,0,0,0
9,0:00:40,0,0,0,0,0
10,0:00:45,0,0,0,0,0
11,0:00:50,0,0,0,0,0
12,0:00:55,0,0,0,0,0
13,0:01:00,0,0,0,0,0
14,0:01:05,0,0,0,0,0
15,0:01:10,0,0,0,0,0
16,0:01:15,0,0,0,0,0
17,0:01:20,0,0,0,0,0
18,0:01:25,0,0,0,0,0
19,0:01:30,0,0,0,0,0
20,0:01:35,0,0,0,0,0
21,0:01:40,0,0,0,0,0
22,0:01:45,0,0,0,0,0
23,0:01:50,0,0,0,0,0
24,0:01:55,0,0,0,0,0
25,0:02:00,0,0,0,0,0
26,0:02:05,0,0,0,0,0
27,0:02:10,1,1,1,1,1
28,0:02:15,1,1,1,1,1
29,0:02:20,1,1,1,1,1
30,0:02:25,1,1,1,1,1
31,0:02:30,1,1,1,1,1
32,0:02:35,1,1,1,1,1
33,0:02:40,1,1,1,1,1
34,0:02:45,1,1,1,1,1
35,0:02:50,1,1,1,1,1
36,0:02:55,1,1,1,1,1
37,0:03:00,1,1,1,1,1
38,0:03:05,1,1,1,1,1
39,0:03:10,1,1,1,1,1
40,0:03:15,1,1,1,1,1
41,0:03:20,1,1,1,1,1
42,0:03:25,1,1,1,1,1
43,0:03:30,1,1,1,1,1
44,0:03:35,0,0,0,0,0
45,0:03:40,0,0,0,0,0
46,0:03:45,0,0,0,0,0
47,0:03:50,0,0,0,0,0
48,0:03:55,0,0,0,0,0
49,0:04:00,0,0,0,0,0
50,0:04:05,0,0,0,0,0
51,0:04:10,0,0,0,0,0
52,0:04:15,0,0,0,0,0
53,0:04:20,0,0,0,0,0
54,0:04:25,0,0,0,0,0
55,0:04:30,0,0,0,0,0
56,0:04:35,0,0,0,0,0
57,0:04:40,0,0,0,0,0
58,0:04:45,0,0,0,0,0
59,0:04:50,0,0,0,0,0
60,0:04:55,0,0,0,0,0
61,0:05:00,0,0,0,0,0
62,0:05:05,0,0,0,0,0
63,0:05:10,0,0,0,0,0
64,0:05:15,0,0,0,0,0
65,0:05:20,0,0,0,0,0
66,0:05:25,0,0,0,0,0
67,0:05:30,0,0,0,0,0
68,0:05:35,0,0,0,0,0
69,0:05:40,0,0,0,0,0
70,0:05:45,0,0,0,0,0
71,0:05:50,0,0,0,0,0
72,0:05:55,0,0,0,0,0
73,0:06:00,0,0,0,0,0
74,0:06:05,0,0,0,0,0
75,0:06:10,0,0,0,0,0
76,0:06:15,0,0,0,0,0
77,0:06:20,0,0,0,0,0
78,0:06:25,0,0,0,0,0
79,0:06:30,0,0,0,0,0
80,0:06:35,0,0,0,0,0
81,0:06:40,0,0,0,0,0
82,0:06:45,0,0,0,0,0
83,0:06:50,0,0,0,0,0
84,0:06:55,0,0,0,0,0
85,0:07:00,0,0,0,0,0
86,0:07:05,0,0,0,0,0
87,0:07:10,0,0,0,0,0
88,0:07:15,0,0,0,0,0
89,0:07:20,0,0,0,0,0
90,0:07:25,0,0,0,0,0
91,0:07:30,0,0,0,0,0
92,0:07:35,0,0,0,0,0
93,0:07:40,0,0,0,0,0
94,0:07:45,0,0,0,0,0
95,0:07:50,0,0,0,0,0
96,0:07:55,0,0,0,0,0
97,0:08:00,0,0,0,0,0
98,0:08:05,0,0,0,0,0
99,0:08:10,0,0,0,0,0
100,0:08:15,0,0,0,0,0
101,0:08:20,0,0,0,0,0
102,0:08:25,0,0,0,0,0
103,0:08:30,0,0,0,0,0
104,0:08:35,0,0,0,0,0
105,0:08:40,0,0,0,0,0
106,0:08:45,0,0,0,0,0
107,0:08:50,0,0,0,0,0
108,0:08:55,0,0,0,0,0
109,0:09:00,0,0,0,0,0
110,0:09:05,0,0,0,0,0
111,0:09:10,0,0,0,0,0
112,0:09:15,0,0,0,0,0
113,0:09:20,0,0,0,0,0
114,0:09:25,0,0,0,0,0
115,0:09:30,0,0,0,0,0
116,0:09:35,0,0,0,0,0
117,0:09:40,0,0,0,0,0
118,0:09:45,0,0,0,0,0
119,0:09:50,0,0,0,0,0
120,0:09:55,0,0,0,0,0
121,0:10:00,0,0,0,0,0
122,0:10:05,0,0,0,0,0
123,0:10:10,0,0,0,0,0
124,0:10:15,0,0,0,0,0
125,0:10:20,0,0,0,0,0
126,0:10:25,0,0,0,0,0
127,0:10:30,0,0,0,0,0
128,0:10:35,0,0,0,0,0
129,0:10:40,0,0,0,0,0
130,0:10:45,0,0,0,0,0
131,0:10:50,0,0,0,0,0
132,0:10:55,0,0,0,0,0
133,0:11:00,0,0,0,0,0
134,0:11:05,0,0,0,0,0
135,0:11:10,0,0,0,0,0
136,0:11:15,0,0,0,0,0
137,0:11:20,0,0,0,0,0
138,0:11:25,0,0,0,0,0
139,0:11:30,0,0,0,0,0
140,0:11:35,0,0,0,0,0
141,0:11:40,0,0,0,0,0
142,0:11:45,0,0,0,0,0
143,0:11:50,0,0,0,0,0
144,0:11:55,0,0,0,0,0
145,0:12:00,0,0,0,0,0
146,0:12:05,0,0,0,0,0
147,0:12:10,0,0,0,0,0
148,0:12:15,0,0,0,0,0
149,0:12:20,0,0,0,0,0
150,0:12:25,0,0,0,0,0
151,0:12:30,0,0,0,0,0
152,0:12:35,0,0,0,0,0
153,0:12:40,0,0,0,0,0
154,0:12:45,0,0,0,0,0
155,0:12:50,0,0,0,0,0
156,0:12:55,0,0,0,0,0
157,0:13:00,0,0,0,0,0
158,0:13:05,0,0,0,0,0
159,0:13:10,0,0,0,0,0
160,0:13:15,0,0,0,0,0
161,0:13:20,0,0,0,0,0
162,0:13:25,0,0,0,0,0
163,0:13:30,0,0,0,0,0
164,0:13:35,0,0,0,0,0
165,0:13:40,0,0,0,0,0
166,0:13:45,0,0,0,0,0
167,0:13:50,0,0,0,0,0
168,0:13:55,0,0,0,0,0
169,0:14:00,0,0,0,0,0
170,0:14:05,0,0,0,0,0
171,0:14:10,0,0,0,0,0
172,0:14:15,0,0,0,0,0
173,0:14:20,0,0,0,0,0
174,0:14:25,0,0,0,0,0
175,0:14:30,0,0,0,0,0
176,0:14:35,0,0,0,0,0
177,0:14:40,0,0,0,0,0
178,0:14:45,0,0,0,0,0
179,0:14:50,0,0,0,0,0
180,0:14:55,0,0,0,0,0
181,0:15:00,0,0,0,0,0
182,0:15:05,0,0,0,0,0
183,0:15:10,0,0,0,0,0
184,0:15:15,0,0,0,0,0
185,0:15:20,0,0,0,0,0
186,0:15:25,0,0,0,0,0
187,0:15:30,0,0,0,0,0
188,0:15:35,0,0,0,0,0
189,0:15:40,0,0,0,0,0
190,0:15:45,0,0,0,0,0
191,0:15:50,0,0,0,0,0
192,0:15:55,0,0,0,0,0
193,0:16:00,0,0,0,0,0
194,0:16:05,0,0,0,0,0
195,0:16:10,0,0,0,0,0
196,0:16:15,0,0,0,0,0
197,0:16:20,0,0,0,0,0
198,0:16:25,0,0,0,0,0
199,0:16:30,0,0,0,0,0
200,0:16:35,0,0,0,0,0
201,0:16:40,0,0,0,0,0
202,0:16:45,0,0,0,0,0
203,0:16:50,0,0,0,0,0
204,0:16:55,0,0,0,0,0
205,0:17:00,0,0,0,0,0
206,0:17:05,0,0,0,0,0
207,0:17:10,0,0,0,0,0
208,0:17:15,0,0,0,0,0
209,0:17:20,0,0,0,0,0
210,0:17:25,0,0,0,0,0
211,0:17:30,0,0,0,0,0
212,0:17:35,0,0,0,0,0
213,0:17:40,0,0,0,0,0
214,0:17:45,0,0,0,0,0
215,0:17:50,0,0,0,0,0
216,0:17:55,0,0,0,0,0
217,0:18:00,0,0,0,0,0
218,0:18:05,0,0,0,0,0
219,0:18:10,0,0,0,0,0
220,0:18:15,0,0,0,0,0
221,0:18:20,0,0,0,0,0
222,0:18:25,0,0,0,0,0
223,0:18:30,0,0,0,0,0
224,0:18:35,0,0,0,0,0
225,0:18:40,0,0,0,0,0
226,0:18:45,0,0,0,0,0
227,0:18:50,0,0,0,0,0
228,0:18:55,0,0,0,0,0
229,0:19:00,0,0,0,0,0
230,0:19:05,0,0,0,0,0
231,0:19:10,0,0,0,0,0
232,0:19:15,0,0,0,0,0
233,0:19:20,0,0,0,0,0
234,0:19:25,0,0,0,0,0
235,0:19:30,0,0,0,0,0
236,0:19:35,0,0,0,0,0
237,0:19:40,0,0,0,0,0
238,0:19:45,0,0,0,0,0
239,0:19:50,0,0,0,0,0
240,0:19:55,0,0,0,0,0
241,0:20:00,0,0,0,0,0
242,0:20:05,0,0,0,0,0
243,0:20:10,0,0,0,0,0
244,0:20:15,0,0,0,0,0
245,0:20:20,0,0,0,0,0
246,0:20:25,0,0,0,0,0
247,0:20:30,0,0,0,0,0
248,0:20:35,0,0,0,0,0
249,0:20:40,0,0,0,0,0
250,0:20:45,0,0,0,0,0
251,0:20:50,0,0,0,0,0
252,0:20:55,0,0,0,0,0
253,0:21:00,0,0,0,0,0
254,0:21:05,0,0,0,0,0
255,0:21:10,0,0,0,0,0
256,0:21:15,0,0,0,0,0
257,0:21:20,0,0,0,0,0
258,0:21:25,0,0,0,0,0
259,0:21:30,0,0,0,0,0
260,0:21:35,0,0,0,0,0
261,0:21:40,0,0,0,0,0
262,0:21:45,0,0,0,0,0
263,0:21:50,0,0,0,0,0
264,0:21:55,0,0,0,0,0
265,0:22:00,0,0,0,0,0
266,0:22:05,0,0,0,0,0
267,0:22:10,0,0,0,0,0
268,0:22:15,0,0,0,0,0
269,0:22:20,0,0,0,0,0
270,0:22:25,0,0,0,0,0
271,0:22:30,0,0,0,0,0
272,0:22:35,0,0,0,0,0
273,0:22:40,0,0,0,0,0
274,0:22:45,0,0,0,0,0
275,0:22:50,0,0,0,0,0
276,0:22:55,0,0,0,0,0
277,0:23:00,0,0,0,0,0
278,0:23:05,0,0,0,0,0
279,0:23:10,0,0,0,0,0
280,0:23:15,0,0,0,0,0
281,0:23:20,0,0,0,0,0
282,0:23:25,0,0,0,0,0
283,0:23:30,0,0,0,0,0
284,0:23:35,0,0,0,0,0
285,0:23:40,0,0,0,0,0
286,0:23:45,0,0,0,0,0
287,0:23:50,0,0,0,0,0
288,0:23:55,0,0,0,0,0
289,0:24:00,0,0,0,0,0
290,0:24:05,0,0,0,0,0
291,0:24:10,0,0,0,0,0
292,0:24:15,0,0,0,0,0
293,0:24:20,0,0,0,0,0
294,0:24:25,0,0,0,0,0
295,0:24:30,0,0,0,0,0
296,0:24:35,0,0,0,0,0
297,0:24:40,0,0,0,0,0
298,0:24:45,0,0,0,0,0
299,0:24:50,0,0,0,0,0
300,0:24:55,0,0,0,0,0
301,0:25:00,0,0,0,0,0
302,0:25:05,0,0,0,0,0
303,0:25:10,0,0,0,0,0
304,0:25:15,0,0,0,0,0
305,0:25:20,0,0,0,0,0
306,0:25:25,0,0,0,0,0
307,0:25:30,0,0,0,0,0
308,0:25:35,0,0,0,0,0
309,0:25:40,0,0,0,0,0
310,0:25:45,0,0,0,0,0
311,0:25:50,0,0,0,0,0
312,0:25:55,0,0,0,0,0
313,0:26:00,0,0,0,0,0
314,0:26:05,0,0,0,0,0
315,0:26:10,0,0,0,0,0
316,0:26:15,0,0,0,0,0
317,0:26:20,0,0,0,0,0
318,0:26:25,0,0,0,0,0
319,0:26:30,0,0,0,0,0
320,0:26:35,0,0,0,0,0
321,0:26:40,0,0,0,0,0
322,0:26:45,0,0,0,0,0
323,0:26:50,0,0,0,0,0
324,0:26:55,0,0,0,0,0
325,0:27:00,0,0,0,0,0
326,0:27:05,0,0,0,0,0
327,0:27:10,0,0,0,0,0
328,0:27:15,0,0,0,0,0
329,0:27:20,0,0,0,0,0
330,0:27:25,0,0,0,0,0
331,0:27:30,0,0,0,0,0
332,0:27:35,0,0,0,0,0
333,0:27:40,0,0,0,0,0
334,0:27:45,0,0,0,0,0
335,0:27:50,0,0,0,0,0
336,0:27:55,0,0,0,0,0
337,0:28:00,0,0,0,0,0
338,0:28:05,0,0,0,0,0
339,0:28:10,0,0,0,0,0
340,0:28:15,0,0,0,0,0
341,0:28:20,0,0,0,0,0
342,0:28:25,0,0,0,0,0
343,0:28:30,0,0,0,0,0
344,0:28:35,0,0,0,0,0
345,0:28:40,0,0,0,0,0
346,0:28:45,0,0,0,0,0
347,0:28:50,0,0,0,0,0
348,0:28:55,0,0,0,0,0
349,0:29:00,0,0,0,0,0
350,0:29:05,0,0,0,0,0
351,0:29:10,0,0,0,0,0
352,0:29:15,0,0,0,0,0
353,0:29:20,0,0,0,0,0
354,0:29:25,0,0,0,0,0
355,0:29:30,0,0,0,0,0
356,0:29:35,0,0,0,0,0
357,0:29:40,0,0,0,0,0
358,0:29:45,0,0,0,0,0
359,0:29:50,0,0,0,0,0
360,0:29:55,0,0,0,0,0
361,0:30:00,0,0,0,0,0
362,0:30:05,0,0,0,0,0
363,0:30:10,0,0,0,0,0
364,0:30:15,0,0,0,0,0
365,0:30:20,0,0,0,0,0
366,0:30:25,0,0,0,0,0
367,0:30:30,0,0,0,0,0
368,0:30:35,0,0,0,0,0
369,0:30:40,0,0,0,0,0
370,0:30:45,0,0,0,0,0
371,0:30:50,0,0,0,0,0
372,0:30:55,0,0,0,0,0
373,0:31:00,0,0,0,0,0
374,0:31:05,0,0,0,0,0
375,0:31:10,0,0,0,0,0
376,0:31:15,0,0,0,0,0
377,0:31:20,0,0,0,0,0
378,0:31:25,0,0,0,0,0
379,0:31:30,0,0,0,0,0
380,0:31:35,0,0,0,0,0
381,0:31:40,0,0,0,0,0
382,0:31:45,0,0,0,0,0
383,0:31:50,0,0,0,0,0
384,0:31:55,0,0,0,0,0
385,0:32:00,0,0,0,0,0
386,0:32:05,0,0,0,0,0
387,0:32:10,0,0,0,0,0
388,0:32:15,0,0,0,0,0
389,0:32:20,0,0,0,0,0
390,0:32:25,0,0,0,0,0
391,0:32:30,0,0,0,0,0
392,0:32:35,0,0,0,0,0
393,0:32:40,0,0,0,0,0
394,0:32:45,0,0,0,0,0
395,0:32:50,0,0,0,0,0
396,0:32:55,0,0,0,0,0
397,0:33:00,0,0,0,0,0
398,0:33:05,0,0,0,0,0
399,0:33:10,0,0,0,0,0
400,0:33:15,0,0,0,0,0
401,0:33:20,0,0,0,0,0
402,0:33:25,0,0,0,0,0
403,0:33:30,0,0,0,0,0
404,0:33:35,0,0,0,0,0
405,0:33:40,0,0,0,0,0
406,0:33:45,0,0,0,0,0
407,0:33:50,0,0,0,0,0
408,0:33:55,0,0,0,0,0
409,0:34:00,0,0,0,0,0
410,0:34:05,0,0,0,0,0
411,0:34:10,0,0,0,0,0
412,0:34:15,0,0,0,0,0
413,0:34:20,0,0,0,0,0
414,0:34:25,0,0,0,0,0
415,0:34:30,0,0,0,0,0
416,0:34:35,0,0,0,0,0
417,0:34:40,0,0,0,0,0
418,0:34:45,0,0,0,0,0
419,0:34:50,0,0,0,0,0
420,0:34:55,0,0,0,0,0
421,0:35:00,0,0,0,0,0
422,0:35:05,0,0,0,0,0
423,0:35:10,0,0,0,0,0
424,0:35:15,0,0,0,0,0
425,0:35:20,0,0,0,0,0
426,0:35:25,0,0,0,0,0
427,0:35:30,0,0,0,0,0
428,0:35:35,0,0,0,0,0
429,0:35:40,0,0,0,0,0
430,0:35:45,0,0,0,0,0
431,0:35:50,0,0,0,0,0
432,0:35:55,0,0,0,0,0
433,0:36:00,0,0,0,0,0
434,0:36:05,0,0,0,0,0
435,0:36:10,0,0,0,0,0
436,0:36:15,0,0,0,0,0
437,0:36:20,0,0,0,0,0
438,0:36:25,0,0,0,0,0
439,0:36:30,0,0,0,0,0
440,0:36:35,0,0,0,0,0
441,0:36:40,0,0,0,0,0
442,0:36:45,0,0,0,0,0
443,0:36:50,0,0,0,0,0
444,0:36:55,0,0,0,0,0
445,0:37:00,0,0,0,0,0
446,0:37:05,0,0,0,0,0
447,0:37:10,0,0,0,0,0
448,0:37:15,0,0,0,0,0
449,0:37:20,0,0,0,0,0
450,0:37:25,0,0,0,0,0
451,0:37:30,0,0,0,0,0
452,0:37:35,0,0,0,0,0
453,0:37:40,0,0,0,0,0
454,0:37:45,0,0,0,0,0
455,0:37:50,0,0,0,0,0
456,0:37:55,0,0,0,0,0
457,0:38:00,0,0,0,0,0
458,0:38:05,0,0,0,0,0
459,0:38:10,0,0,0,0,0
460,0:38:15,0,0,0,0,0
461,0:38:20,0,0,0,0,0
462,0:38:25,0,0,0,0,0
463,0:38:30,0,0,0,0,0
464,0:38:35,0,0,0,0,0
465,0:38:40,0,0,0,0,0
466,0:38:45,0,0,0,0,0
467,0:38:50,0,0,0,0,0
468,0:38:55,0,0,0,0,0
469,0:39:00,0,0,0,0,0
470,0:39:05,0,0,0,0,0
471,0:39:10,0,0,0,0,0
472,0:39:15,0,0,0,0,0
473,0:39:20,0,0,0,0,0
474,0:39:25,0,0,0,0,0
475,0:39:30,0,0,0,0,0
476,0:39:35,0,0,0,0,0
477,0:39:40,0,0,0,0,0
478,0:39:45,0,0,0,0,0
479,0:39:50,0,0,0,0,0
480,0:39:55,0,0,0,0,0
481,0:40:00,0,0,0,0,0
482,0:40:05,0,0,0,0,0
483,0:40:10,0,0,0,0,0
484,0:40:15,0,0,0,0,0
485,0:40:20,0,0,0,0,0
486,0:40:25,0,0,0,0,0
487,0:40:30,0,0,0,0,0
488,0:40:35,0,0,0,0,0
489,0:40:40,0,0,0,0,0
490,0:40:45,0,0,0,0,0
491,0:40:50,0,0,0,0,0
492,0:40:55,0,0,0,0,0
493,0:41:00,0,0,0,0,0
494,0:41:05,0,0,0,0,0
495,0:41:10,0,0,0,0,0
496,0:41:15,0,0,0,0,0
497,0:41:20,0,0,0,0,0
498,0:41:25,0,0,0,0,0
499,0:41:30,0,0,0,0,0
500,0:41:35,0,0,0,0,0
501,0:41:40,0,0,0,0,0
502,0:41:45,0,0,0,0,0
503,0:41:50,0,0,0,0,0
504,0:41:55,0,0,0,0,0
505,0:42:00,0,0,0,0,0
506,0:42:05,0,0,0,0,0
507,0:42:10,0,0,0,0,0
508,0:42:15,0,0,0,0,0
509,0:42:20,0,0,0,0,0
510,0:42:25,0,0,0,0,0
511,0:42:30,0,0,0,0,0
512,0:42:35,0,0,0,0,0
513,0:42:40,0,0,0,0,0
514,0:42:45,0,0,0,0,0
515,0:42:50,0,0,0,0,0
516,0:42:55,0,0,0,0,0
517,0:43:00,0,0,0,0,0
518,0:43:05,0,0,0,0,0
519,0:43:10,0,0,0,0,0
520,0:43:15,0,0,0,0,0
521,0:43:20,0,0,0,0,0
522,0:43:25,0,0,0,0,0
523,0:43:30,0,0,0,0,0
524,0:43:35,0,0,0,0,0
525,0:43:40,0,0,0,0,0
526,0:43:45,0,0,0,0,0
527,0:43:50,0,0,0,0,0
528,0:43:55,0,0,0,0,0
529,0:44:00,0,0,0,0,0
530,0:44:05,0,0,0,0,0
531,0:44:10,0,0,0,0,0
532,0:44:15,0,0,0,0,0
533,0:44:20,0,0,0,0,0
534,0:44:25,0,0,0,0,0
535,0:44:30,0,0,0,0,0
536,0:44:35,0,0,0,0,0
537,0:44:40,0,0,0,0,0
538,0:44:45,0,0,0,0,0
539,0:44:50,0,0,0,0,0
540,0:44:55,0,0,0,0,0
541,0:45:00,0,0,0,0,0
542,0:45:05,0,0,0,0,0
543,0:45:10,0,0,0,0,0
544,0:45:15,0,0,0,0,0
545,0:45:20,0,0,0,0,0
546,0:45:25,0,0,0,0,0
547,0:45:30,0,0,0,0,0
548,0:45:35,0,0,0,0,0
549,0:45:40,0,0,0,0,0
550,0:45:45,0,0,0,0,0
551,0:45:50,0,0,0,0,0
552,0:45:55,0,0,0,0,0
553,0:46:00,0,0,0,0,0
554,0:46:05,0,0,0,0,0
555,0:46:10,0,0,0,0,0
556,0:46:15,0,0,0,0,0
557,0:46:20,0,0,0,0,0
558,0:46:25,0,0,0,0,0
559,0:46:30,0,0,0,0,0
560,0:46:35,0,0,0,0,0
561,0:46:40,0,0,0,0,0
562,0:46:45,0,0,0,0,0
563,0:46:50,0,0,0,0,0
564,0:46:55,0,0,0,0,0
565,0:47:00,0,0,0,0,0
566,0:47:05,0,0,0,0,0
567,0:47:10,0,0,0,0,0
568,0:47:15,0,0,0,0,0
569,0:47:20,0,0,0,0,0
570,0:47:25,0,0,0,0,0
571,0:47:30,0,0,0,0,0
572,0:47:35,0,0,0,0,0
573,0:47:40,0,0,0,0,0
574,0:47:45,0,0,0,0,0
575,0:47:50,0,0,0,0,0
576,0:47:55,0,0,0,0,0
